date,active_agents,registered_accounts_millions,cico_volume_millions,cico_value_ksh_billions,avg_txn_value_ksh,accounts_per_agent,accounts_yoy_growth_pct,cico_value_yoy_growth_pct
2007-03-01,307,0.020992,0.021714,0.0643905,2965.3909919867365,68.37785016286645,,
2007-04-01,362,0.054944,0.07,0.220896,3155.657142857143,151.77900552486187,,
2007-05-01,447,0.107733,0.15,0.483709,3224.7266666666665,241.01342281879195,,
2007-06-01,527,0.175652,0.233661,0.720102,3081.823667621041,333.3055028462998,,
2007-07-01,681,0.268499,0.354298,1.06537,3006.9884673354068,394.2716593245228,,
2007-08-01,819,0.432555,0.516239,1.57991,3060.4235635045006,528.1501831501831,,
2007-09-01,960,0.635761,0.669689,2.06969,3090.524108952066,662.2510416666667,,
2007-10-01,1196,0.875962,0.958908,2.82955,2950.804456736204,732.4096989966555,,
2007-11-01,1379,1.1332,1.22174,3.51495,2877.003290389117,821.7548948513415,,
2007-12-01,1582,1.34527,1.2741,3.77027,2959.1633309787303,850.3603034134007,,
2008-01-01,1812,1.5891,1.34683,4.05904,3013.773081977681,876.9867549668874,,
2008-02-01,2067,1.82153,1.7399,5.21979,3000.0517271107533,881.2433478471214,,
2008-03-01,2329,2.07553,2.3975,6.74745,2814.36913451512,891.1678832116788,9787.242759146342,10378.952640529269
2008-04-01,2606,2.37346,3.07289,8.38964,2730.2116248873212,910.7674597083653,4219.780139778684,3698.004490801101
2008-05-01,2770,2.71813,4.02127,10.9042,2711.630902675025,981.2743682310469,2423.024514308522,2154.2892524224276
2008-06-01,3011,3.03852,4.20144,10.9172,2598.4424387828935,1009.1398206575889,1629.8522077744633,1416.0630021858015
2008-07-01,3378,3.36719,5.39108,14.0171,2600.054163544225,996.7998815867377,1154.0791585815962,1215.7025258830267
2008-08-01,3761,3.72618,6.34241,16.7563,2641.9452542487793,990.7418239829833,761.4349620279502,960.5857295668741
2008-09-01,4230,4.14304,7.15191,19.2699,2694.371153999421,979.4420803782506,551.6662708156052,831.052476457827
2008-10-01,4781,4.42028,8.30365,21.6007,2601.3500087311004,924.5513490901485,404.6200634274089,663.3970065911541
2008-11-01,5399,4.75139,8.56681,21.7,2533.031548499383,880.0500092609742,319.28962230850686,517.3629781362466
2008-12-01,6104,5.08247,10.2051,26.99,2644.756053345876,832.6458060288336,277.8029689207371,615.8638505995591
2009-01-01,7304,5.47828,10.1906,27.0749,2656.8504307891585,750.0383351588171,244.74104839217165,567.0271788403168
2009-02-01,7512,5.81602,11.0793,28.6863,2589.179821829899,774.230564430245,219.2931217163593,449.56808607242823
2009-03-01,13358,6.28952,13.5541,33.8202,2495.200714175047,470.84294055996406,203.03199664663967,401.2293533112509
2009-04-01,14790,6.53192,13.7796,34.0201,2468.8742779180816,441.6443542934415,175.20666031869087,305.50130875699074
2009-05-01,16029,6.8427,15.0488,36.8062,2445.78969751741,426.8950028074116,151.74292620294102,237.54149777150087
2009-06-01,16641,7.19062,15.9846,38.1756,2388.273713449195,432.10263806261645,136.64876321366978,249.68306891877043
2009-07-01,18504,7.42641,16.8986,40.3374,2387.0261441776242,401.34079118028535,120.55215179422602,187.77279180429622
2009-08-01,18780,7.7141,17.0104,40.6787,2391.401730705921,410.7614483493078,107.02435201734755,142.76660121864612
2009-09-01,19803,8.01624,18.3703,45.3683,2469.6548232745245,404.7992728374489,93.48690816405345,135.43609463463744
2009-10-01,20631,8.36803,19.92,48.6365,2441.5913654618475,405.6046725800979,89.30995321563337,125.16168457503692
2009-11-01,22476,8.61529,19.975,47.4656,2376.250312891114,383.3106424630717,81.32146592891765,118.73548387096777
2009-12-01,23012,8.88258,21.6891,52.3417,2413.272104421115,385.9977403094038,74.76896076120471,93.92997406446835
2010-01-01,24850,9.4767,20.0767,48.4625,2413.867816922104,381.35613682092554,72.98677687157283,78.99419757783039
2010-02-01,25394,9.67495,20.8087,49.9055,2398.2997496239554,380.9935417815232,66.3500125515387,73.96980440140418
2010-03-01,27622,9.97211,24.0758,56.1167,2330.8342817268795,361.02056331909347,58.55120899528104,65.92657642474025
2010-04-01,29570,10.2026,22.6933,51.8136,2283.211344317486,345.03212715590126,56.19603424414261,52.30290328364702
2010-05-01,31036,10.4928,24.6984,58.0795,2351.5490882000454,338.0848047428792,53.34297864877902,57.79814270421832
2010-06-01,31902,10.9147,25.0338,58.0993,2320.8342321181763,342.1321547238418,51.79080524349777,52.1896184997747
2010-07-01,32974,13.4701,26.915,61.7728,2295.1068177596135,408.5067022502578,81.38104413841951,53.14026189094982
2010-08-01,33864,14.5893,26.8233,61.531,2293.938478859797,430.82034018426646,89.12510856742846,51.260979333164535
2010-09-01,35373,15.2239,29.4457,68.5062,2326.5264537776316,430.3819297204082,89.91322615091366,51.00014768020844
2010-10-01,37009,15.7346,31.3186,71.7947,2292.398127630226,425.15604312464535,88.03230867958172,47.61485715460611
2010-11-01,38201,16.075,30.0386,70.2727,2339.413288235803,420.80050260464384,86.5868705522391,48.04974549989887
2010-12-01,39449,16.4463,29.1183,75.8654,2605.4199592696004,416.9003016553018,85.15228683558153,44.94256013847466
2011-01-01,33968,16.6901,28.2047,75.4328,2674.4762397756404,491.3477390485163,76.11721379805209,55.651895795718346
2011-02-01,34572,16.8928,28.5462,76.3366,2674.1422676223106,488.6266342705079,74.60348632292673,52.96229874462735
2011-03-01,36198,17.4653,32.7301,88.9966,2719.105655039245,482.49350792861486,75.1414695585989,58.59200558835427
2011-04-01,37309,17.7573,32.4254,86.0877,2654.94643088443,475.9521831193546,74.0468115970439,66.1488489508546
2011-05-01,38485,17.9239,35.3457,94.3724,2669.982487261534,465.73730024684943,70.82094388533086,62.48831343245034
2011-06-01,42840,18.1469,35.8222,92.6437,2586.2091105515574,423.59710550887024,66.26109741907702,59.45751497866583
2011-07-01,43577,18.3082,37.9763,99.7104,2625.5954371542252,420.13447460816485,35.917328007958346,61.414732697886464
